"#Name","System","Analog","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"PI11",,,,,,,,,,,,,"OTG_HS_ULPI_DIR",,,,
"PI2",,,,,,"TIM8_CH4",,"SPI2_MISO","I2S2ext_SD",,,,,,,"DCMI_D9",
"PI2",,,,,,,,,,,,,,,,,
"PI2",,,,,,,,,,,,,,,,,
"PI2",,,,,,,,,,,,,,,,,
"PI3",,,,,,"TIM8_ETR",,"SPI2_MOSI/I2S2_SD",,,,,,,,"DCMI_D10",
"PI4",,,,,,"TIM8_BKIN",,,,,,,,,,"DCMI_D5",
"PI5",,,,,,"TIM8_CH1",,,,,,,,,,"DCMI_VSYNC",
"PI6",,,,,,"TIM8_CH2",,,,,,,,,,"DCMI_D6",
"PI7",,,,,,"TIM8_CH3",,,,,,,,,,"DCMI_D7",
"PI9",,,,,,,,,,,,"CAN1_RX",,,,,
